candidate_id,job_id,label
cand_0,job_0,0
cand_1,job_1,1
cand_2,job_2,0
cand_3,job_3,1
cand_4,job_4,0
cand_5,job_5,0
cand_6,job_6,0
cand_7,job_7,0
cand_8,job_8,1
cand_9,job_9,1
cand_10,job_10,1
cand_11,job_11,0
cand_12,job_12,0
cand_13,job_13,0
cand_14,job_14,0
cand_15,job_15,1
cand_16,job_16,0
cand_17,job_17,1
cand_18,job_18,1
cand_19,job_19,0
cand_20,job_20,1
cand_21,job_21,0
cand_22,job_22,0
cand_23,job_23,1
cand_24,job_24,1
cand_25,job_25,0
cand_26,job_26,1
cand_27,job_27,0
cand_28,job_28,1
cand_29,job_29,1
cand_30,job_30,0
cand_31,job_31,0
cand_32,job_32,1
cand_33,job_33,0
cand_34,job_34,0
cand_35,job_35,0
cand_36,job_36,1
cand_37,job_37,0
cand_38,job_38,0
cand_39,job_39,1
cand_40,job_40,0
cand_41,job_41,0
cand_42,job_42,1
cand_43,job_43,1
cand_44,job_44,1
cand_45,job_45,0
cand_46,job_46,0
cand_47,job_47,0
cand_48,job_48,0
cand_49,job_49,0
cand_50,job_50,1
cand_51,job_51,0
cand_52,job_52,0
cand_53,job_53,1
cand_54,job_54,1
cand_55,job_55,1
cand_56,job_56,0
cand_57,job_57,0
cand_58,job_58,0
cand_59,job_59,0
cand_60,job_60,0
cand_61,job_61,1
cand_62,job_62,0
cand_63,job_63,1
cand_64,job_64,1
cand_65,job_65,0
cand_66,job_66,0
cand_67,job_67,1
cand_68,job_68,1
cand_69,job_69,0
cand_70,job_70,1
cand_71,job_71,1
cand_72,job_72,0
cand_73,job_73,1
cand_74,job_74,1
cand_75,job_75,0
cand_76,job_76,1
cand_77,job_77,0
cand_78,job_78,0
cand_79,job_79,1
cand_80,job_80,1
cand_81,job_81,0
cand_82,job_82,0
cand_83,job_83,0
cand_84,job_84,0
cand_85,job_85,1
cand_86,job_86,0
cand_87,job_87,0
cand_88,job_88,0
cand_89,job_89,0
cand_90,job_90,1
cand_91,job_91,0
cand_92,job_92,0
cand_93,job_93,1
cand_94,job_94,1
cand_95,job_95,0
cand_96,job_96,1
cand_97,job_97,1
cand_98,job_98,1
cand_99,job_99,0
cand_100,job_100,0
cand_101,job_101,1
cand_102,job_102,0
cand_103,job_103,0
cand_104,job_104,0
cand_105,job_105,1
cand_106,job_106,1
cand_107,job_107,0
cand_108,job_108,0
cand_109,job_109,0
cand_110,job_110,1
cand_111,job_111,0
cand_112,job_112,1
cand_113,job_113,0
cand_114,job_114,1
cand_115,job_115,0
cand_116,job_116,0
cand_117,job_117,1
cand_118,job_118,1
cand_119,job_119,0
cand_120,job_120,1
cand_121,job_121,1
cand_122,job_122,1
cand_123,job_123,0
cand_124,job_124,0
cand_125,job_125,0
cand_126,job_126,1
cand_127,job_127,0
cand_128,job_128,0
cand_129,job_129,0
cand_130,job_130,1
cand_131,job_131,0
cand_132,job_132,0
cand_133,job_133,0
cand_134,job_134,0
cand_135,job_135,0
cand_136,job_136,0
cand_137,job_137,1
cand_138,job_138,1
cand_139,job_139,0
cand_140,job_140,0
cand_141,job_141,0
cand_142,job_142,0
cand_143,job_143,0
cand_144,job_144,1
cand_145,job_145,1
cand_146,job_146,0
cand_147,job_147,1
cand_148,job_148,1
cand_149,job_149,1
cand_150,job_150,1
cand_151,job_151,0
